stat_name,station,year,depth,chlsml,chllrg,chltot,spatial
PWS2-2015-05-07,PWS2,2015,0,2.071705263,2.135124812,4.206830075,PWS
PWS2-2015-05-07,PWS2,2015,10,2.135124812,2.092845113,4.227969925,PWS
PWS2-2015-05-07,PWS2,2015,20,2.769320301,1.735581654,4.504901955,PWS
PWS2-2015-05-07,PWS2,2015,30,0.54118015,0.186030677,0.727210827,PWS
PWS2-2015-05-07,PWS2,2015,40,0.143750977,0.046296271,0.190047248,PWS
PWS2-2015-05-07,PWS2,2015,50,0.099357293,0.027270406,0.126627699,PWS
GAK01-2015-05-10,GAK01,2015,0,1.154235789,0.467190677,1.621426466,inner
GAK01-2015-05-10,GAK01,2015,10,0.858277895,0.501014436,1.359292331,inner
GAK01-2015-05-10,GAK01,2015,20,0.693387068,0.727210827,1.420597895,inner
GAK01-2015-05-10,GAK01,2015,30,0.790630376,0.604599699,1.395230075,inner
GAK01-2015-05-10,GAK01,2015,40,0.657449323,0.608827669,1.266276992,inner
GAK01-2015-05-10,GAK01,2015,50,0.627853534,0.729324812,1.357178346,inner
GAK04-2015-05-10,GAK04,2015,0,1.437509774,0.073989474,1.511499248,middle
GAK04-2015-05-10,GAK04,2015,10,1.509385263,0.065956331000000007,1.575341594,middle
GAK04-2015-05-10,GAK04,2015,20,1.511499248,0.066167729,1.577666977,middle
GAK04-2015-05-10,GAK04,2015,30,1.416369925,0.056654797,1.473024722,middle
GAK04-2015-05-10,GAK04,2015,40,0.234652331,0.023042436,0.257694767,middle
GAK04-2015-05-10,GAK04,2015,50,0.158548872,0.018603068,0.17715194,middle
GAK09-2015-05-06,GAK09,2015,0,1.689073985,0.05200403,1.741078015,outer
GAK09-2015-05-06,GAK09,2015,10,1.617198496,0.027904602,1.645103098,outer
GAK09-2015-05-06,GAK09,2015,20,1.562234887,0.040165714,1.602400602,outer
GAK09-2015-05-06,GAK09,2015,30,1.593944662,0.034669353,1.628614015,outer
GAK09-2015-05-06,GAK09,2015,40,0.985116992,0.032555368,1.017672361,outer
GAK09-2015-05-06,GAK09,2015,50,0.469304662,0.034669353,0.503974015,outer
GAK14-2015-05-06,GAK14,2015,0,0.887873684,0.040377113,0.928250797,slope
GAK14-2015-05-06,GAK14,2015,10,0.841366015,0.027481805,0.86884782,slope
GAK14-2015-05-06,GAK14,2015,20,1.080246316,0.058345985,1.138592301,slope
GAK14-2015-05-06,GAK14,2015,30,1.067562406,0.056443398,1.124005805,slope
GAK14-2015-05-06,GAK14,2015,40,0.689159098,0.099991489,0.789150586,slope
GAK14-2015-05-06,GAK14,2015,50,0.26424812,0.103373865,0.367621985,slope
PWS2-2016-05-01,PWS2,2016,0,0.271916544,2.75359e-4,0.272191902,PWS
PWS2-2016-05-01,PWS2,2016,10,0.216844839,0.002822425,0.219667264,PWS
PWS2-2016-05-01,PWS2,2016,20,0.041303779,0.003441982,0.04474576,PWS
PWS2-2016-05-01,PWS2,2016,30,0.014112124,0.011702737,0.025814862,PWS
PWS2-2016-05-01,PWS2,2016,40,0.011358539,5.16297e-4,0.011874836,PWS
PWS2-2016-05-01,PWS2,2016,50,0.009121251,0.001548892,0.010670143,PWS
