stat_name,station,year,chlsml_int,chllrg_int,chl_int_total,spatial
PWS2-2015-05-07,PWS2,2015,66.74907518,51.41951324,118.16858842,PWS
GAK01-2015-05-10,GAK01,2015,38.907893235,30.399103755,69.30699699,inner
GAK04-2015-05-10,GAK04,2015,54.6993609,2.58117564,57.28053654,middle
GAK09-2015-05-06,GAK09,2015,68.376843605,1.786317285,70.16316089,outer
GAK14-2015-05-06,GAK14,2015,42.54394737,3.14138166,45.68532903,slope
PWS2-2016-05-01,PWS2,2016,4.241381785,0.193955665,4.43533745,PWS
GAK01-2016-04-30,GAK01,2016,18.767404505,0.4861799,19.253584405,inner
GAK01-2016-05-25,GAK01,2016,19.80860391,0.32698824,20.13559215,inner
GAK04-2016-05-25,GAK04,2016,55.622422115,0.790795265,56.41321738,middle
GAK09-2016-05-26,GAK09,2016,79.427327145,1.6979625,81.125289645,outer
GAK14-2016-05-27,GAK14,2016,25.135070395,4.21212494,29.347195335,slope
PWS2-2017-05-04,PWS2,2017,4.34665566,0.49732006,4.84397572,PWS
GAK01-2017-05-08,GAK01,2017,11.29086227,0.84844629,12.13930856,inner
GAK04-2017-05-06,GAK04,2017,4.59988424,8.194685945,12.794570185,middle
GAK09-2017-05-05,GAK09,2017,6.11925576,64.3774945,70.49675026,outer
GAK13-2017-05-05,GAK13,2017,6.09837092,76.438484965,82.536855885,slope
PWS2-2018-04-23,PWS2,2018,24.45,74.2,98.65,PWS
GAK01-2018-04-18,GAK01,2018,30.05,316.95,347,inner
GAK01-2018-05-04,GAK01,2018,4.45,2.1,6.55,inner
GAK05-2018-05-03,GAK05,2018,11.05,51.85,62.9,middle
GAK09-2018-05-02,GAK09,2018,10.05,41.15,51.2,outer
GAK15-2018-04-30,GAK15,2018,13.35,2.5,15.85,slope
PWS2-2019-04-30,PWS2,2019,18.4,116.6,135,PWS
GAK01-2019-05-01,GAK01,2019,33.25,63.45,96.7,inner
GAK05-2019-05-02,GAK05,2019,25.45,3.8,29.25,middle
GAK09-2019-05-04,GAK09,2019,57.9,4.95,62.85,outer
GAK15-2019-05-05,GAK15,2019,19.9,5.45,25.35,slope
PWS2-2020-05-07,PWS2,2020,8.45,4.05,12.5,PWS
GAK01-2020-05-04,GAK01,2020,17.15,40.75,57.9,inner
GAK05-2020-05-09,GAK05,2020,70.8,30.15,100.95,middle
GAK09-2020-05-05,GAK09,2020,32,38.65,70.65,outer
GAK15-2020-05-06,GAK15,2020,15.5,67.15,82.65,slope
PWS2-2021-04-29,PWS2,2021,20.1,89.9,110,PWS
GAK01-2021-05-01,GAK01,2021,25.5,286,311.5,inner
GAK05-2021-05-02,GAK05,2021,14.2,316.55,330.75,middle
GAK09-2021-05-03,GAK09,2021,15.05,148.2,163.25,outer
GAK13-2021-05-05,GAK13,2021,44.7,17.35,62.05,slope
PWS2-2022-04-22,PWS2,2022,50.75,47.15,97.9,PWS
GAK01-2022-05-03,GAK01,2022,30.8,84.65,115.45,inner
GAK05-2022-05-04,GAK05,2022,18.6,281.15,299.75,middle
GAK09-2022-05-05,GAK09,2022,21.2,275.7,296.9,outer
GAK15-2022-05-06,GAK15,2022,9.45,85.4,94.85,slope
